tracking_id	FPKM	FPKM
ENSDARG00000093438	0	0
ENSDARG00000094206	0.00625319	0
ENSDARG00000037758	0	0
ENSDARG00000008723	0	0
ENSDARG00000058460	0	0
ENSDARG00000092972	0	0
ENSDARG00000088975	0	0
ENSDARG00000093053	0	0
ENSDARG00000058463	0	0
ENSDARG00000076716	0	0
ENSDARG00000058464	0	0
ENSDARG00000058471	330.804	8.73177
ENSDARG00000096584	58.2927	20.8497
ENSDARG00000058475	0	0.00347007
ENSDARG00000080404	0	0
ENSDARG00000058480	0	0
ENSDARG00000024740	0.686023	1.52787
ENSDARG00000058480	0	0
ENSDARG00000058445	0	0
ENSDARG00000063169	0.0546724	0.17917
ENSDARG00000092791	0.631784	1.87557
ENSDARG00000037760	0	0
ENSDARG00000017834	4.43656	4.10367
ENSDARG00000074282	0	0
ENSDARG00000057612	0	0
ENSDARG00000094549	0	0
ENSDARG00000091916	0	0
ENSDARG00000074372	0.0105646	0.0324079
ENSDARG00000033852	7.69144	0.00774214
ENSDARG00000037654	0	0
ENSDARG00000037652	0	0
ENSDARG00000037646	0.158576	0.00598803
ENSDARG00000032795	0.00203396	0.000284428
ENSDARG00000084709	0	9.42972
ENSDARG00000018263	0	0
ENSDARG00000077542	0	0
ENSDARG00000070490	0	0
ENSDARG00000015678	0	0
ENSDARG00000079043	0.0264994	0.0613953
ENSDARG00000076174	0	0
ENSDARG00000037647	0	0
ENSDARG00000008969	0	0
ENSDARG00000020741	0	0
ENSDARG00000057718	0	0
ENSDARG00000096629	0	0.0132144
ENSDARG00000057813	0	0.204578
ENSDARG00000096594	0	0
ENSDARG00000077652	0	0
ENSDARG00000079452	0	0
ENSDARG00000089943	0	0
ENSDARG00000096536	0	0
ENSDARG00000077533	0	0
ENSDARG00000030563	0	0
ENSDARG00000026387	0	0
ENSDARG00000070495	0	0
ENSDARG00000084766	0	0
ENSDARG00000034785	0	0.0160474
ENSDARG00000070504	0	0
ENSDARG00000070512	0	0.0122706
ENSDARG00000062057	0	0
ENSDARG00000070502	0	0
ENSDARG00000067992	0	0.0236088
ENSDARG00000096564	0	0.00938022
ENSDARG00000037679	0	0
ENSDARG00000076833	0	0
ENSDARG00000012297	0.0277538	0.133101
ENSDARG00000087107	0	0
ENSDARG00000075776	0	0
ENSDARG00000096495	0	0
ENSDARG00000008487	0	0
ENSDARG00000084839	0	0
ENSDARG00000070239	0	0
ENSDARG00000074379	0	0
ENSDARG00000062854	0	0
ENSDARG00000091551	0	0
ENSDARG00000092242	0	0
ENSDARG00000092200	0	0
ENSDARG00000093636	0	0
ENSDARG00000095482	0	0
ENSDARG00000094981	0	0
ENSDARG00000037619	0	0
ENSDARG00000062585	0.00962401	0.00368975
ENSDARG00000074213	0	0
ENSDARG00000062606	0	0
ENSDARG00000077198	0	0
ENSDARG00000037621	0	0
ENSDARG00000007678	0.000699629	0
ENSDARG00000089930	0.00912247	0.00174859
ENSDARG00000077708	0	0
ENSDARG00000070460	0	0
ENSDARG00000070456	0	0
ENSDARG00000076271	0.000479776	0
ENSDARG00000038114	0	0
ENSDARG00000096515	0	0.0126914
ENSDARG00000070454	0	0.000585581
ENSDARG00000070452	0	0
ENSDARG00000096506	0	0
ENSDARG00000042988	0	0.00165282
ENSDARG00000070449	0	0
ENSDARG00000070448	0	0
ENSDARG00000078057	0	0
ENSDARG00000008637	0	0
